team,stadium,latitude,longitude
Arsenal,Emirates Stadium,51.5549,-0.1084
Aston Villa,Villa Park,52.5092,-1.8848
Bournemouth,Vitality Stadium,50.7352,-1.8383
Brentford,Gtech Community Stadium,51.4907,-0.2887
Brighton,Amex Stadium,50.8618,-0.0833
Burnley,Turf Moor,53.7890,-2.2302
Cardiff,Cardiff City Stadium,51.4728,-3.2030
Chelsea,Stamford Bridge,51.4816,-0.1910
Crystal Palace,Selhurst Park,51.3983,-0.0855
Everton,Goodison Park,53.4388,-2.9663
Fulham,Craven Cottage,51.4749,-0.2216
Huddersfield,John Smith's Stadium,53.6543,-1.7684
Ipswich,Portman Road,52.0550,1.1455
Leeds,Elland Road,53.7778,-1.5721
Leicester,King Power Stadium,52.6203,-1.1422
Liverpool,Anfield,53.4308,-2.9608
Luton,Kenilworth Road,51.8840,-0.4317
Man City,Etihad Stadium,53.4831,-2.2004
Man United,Old Trafford,53.4631,-2.2913
Newcastle,St James' Park,54.9756,-1.6217
Norwich,Carrow Road,52.6221,1.3091
Nott'm Forest,City Ground,52.9400,-1.1328
Sheffield United,Bramall Lane,53.3703,-1.4708
Southampton,St Mary's Stadium,50.9058,-1.3911
Stoke,bet365 Stadium,52.9883,-2.1756
Sunderland,Stadium of Light,54.9144,-1.3882
Swansea,Liberty Stadium,51.6422,-3.9347
Tottenham,Tottenham Hotspur Stadium,51.6043,-0.0664
Watford,Vicarage Road,51.6498,-0.4015
West Brom,The Hawthorns,52.5090,-1.9639
West Ham,London Stadium,51.5386,-0.0164
Wolves,Molineux Stadium,52.5903,-2.1304
