name,league,selection,odds_band,bets,roi,recent_bets,recent_profit_units,recent_roi,recent_loss_streak,status,pause_reason
Premier League A long 5%+,Premier League,A,long,76,0.47631578947368425,5,7.52,1.504,2,active,
all H very_long 8%+,all,H,very_long,21,0.37,0,0,0.0,0,active,
Premier League H all 10%+,Premier League,H,all,32,0.35124999999999995,0,0,0.0,0,active,
La Liga H short 3%+,La Liga,H,short,36,0.26861111111111113,1,0.73,0.73,0,active,
La Liga H mid 8%+,La Liga,H,mid,37,0.2591891891891892,4,3.22,0.8049999999999999,0,active,
all A long 5%+,all,A,long,123,0.23650406504065044,0,0,0.0,0,active,
all A short 3%+,all,A,short,20,0.1735,0,0,0.0,0,active,
all H long 12%+,all,H,long,20,0.15100000000000002,0,0,0.0,0,active,
Premier League A all 5%+,Premier League,A,all,177,0.14983050847457627,0,0,0.0,0,active,
all H all 12%+,all,H,all,35,0.13685714285714287,0,0,0.0,0,active,
all D all 5%+,all,D,all,60,0.09866666666666667,0,0,0.0,0,active,
all H short 3%+,all,H,short,68,0.0964705882352941,2,-0.4,-0.19999999999999996,1,active,
Premier League D all 3%+,Premier League,D,all,88,0.07806818181818183,0,0,0.0,0,active,
all H mid 5%+,all,H,mid,280,0.06717857142857142,5,1.96,0.392,2,active,
La Liga A mid 3%+,La Liga,A,mid,120,0.05833333333333334,5,-3.18,-0.6359999999999999,0,paused,"Recent ROI -63.60%, loss streak 0"
all A all 5%+,all,A,all,273,0.05003663003663004,0,0,0.0,0,active,
